iter	Passed	Remaining
0	186	111562
1	227	68132
2	264	52641
3	299	44555
4	327	38947
5	349	34610
6	375	31785
7	397	29445
8	421	27701
9	445	26276
10	467	25021
11	491	24081
12	512	23153
13	534	22377
14	559	21801
15	580	21197
16	603	20686
17	626	20249
18	648	19821
19	671	19468
20	695	19185
21	716	18829
22	737	18513
23	760	18247
24	785	18059
25	808	17851
26	832	17661
27	852	17405
28	872	17171
29	894	16986
30	915	16795
31	939	16677
32	959	16483
33	979	16298
34	999	16127
35	1017	15944
36	1037	15788
37	1057	15639
38	1078	15507
39	1098	15379
40	1117	15229
41	1137	15110
42	1157	14988
43	1176	14871
44	1196	14751
45	1214	14625
46	1233	14512
47	1250	14378
48	1268	14261
49	1285	14138
50	1306	14069
51	1326	13977
52	1345	13886
53	1364	13793
54	1380	13677
55	1397	13571
56	1413	13462
57	1429	13354
58	1445	13253
59	1463	13167
60	1480	13084
61	1500	13020
62	1521	12971
63	1543	12922
64	1561	12850
65	1577	12766
66	1596	12702
67	1613	12620
68	1632	12565
69	1649	12491
70	1666	12417
71	1682	12338
72	1699	12269
73	1715	12191
74	1730	12116
75	1746	12042
76	1764	11988
77	1782	11932
78	1803	11890
79	1823	11853
80	1842	11807
81	1865	11787
82	1888	11760
83	1911	11742
84	1934	11718
85	1958	11702
86	1976	11656
87	1997	11620
88	2016	11576
89	2036	11538
90	2055	11498
91	2076	11463
92	2093	11415
93	2111	11364
94	2128	11316
95	2147	11274
96	2164	11226
97	2183	11184
98	2202	11144
99	2220	11101
100	2238	11058
101	2258	11024
102	2277	10988
103	2296	10952
104	2318	10930
105	2341	10913
106	2360	10876
107	2380	10846
108	2402	10822
109	2423	10797
110	2442	10759
111	2462	10730
112	2483	10705
113	2506	10683
114	2526	10656
115	2545	10620
116	2563	10581
117	2579	10538
118	2600	10509
119	2618	10472
120	2633	10423
121	2649	10379
122	2667	10345
123	2684	10306
124	2702	10268
125	2719	10230
126	2736	10193
127	2753	10155
128	2773	10125
129	2790	10089
130	2807	10051
131	2824	10013
132	2842	9979
133	2859	9944
134	2880	9920
135	2899	9894
136	2917	9860
137	2935	9827
138	2953	9796
139	2972	9765
140	2990	9733
141	3007	9701
142	3024	9667
143	3046	9646
144	3064	9615
145	3082	9584
146	3098	9548
147	3115	9514
148	3132	9482
149	3148	9444
150	3163	9407
151	3181	9375
152	3198	9344
153	3214	9308
154	3230	9275
155	3246	9241
156	3263	9209
157	3280	9176
158	3296	9143
159	3313	9110
160	3330	9080
161	3349	9054
162	3373	9043
163	3394	9023
164	3414	9002
165	3432	8974
166	3452	8951
167	3475	8936
168	3495	8914
169	3517	8896
170	3536	8872
171	3555	8848
172	3572	8817
173	3593	8796
174	3613	8775
175	3633	8752
176	3651	8727
177	3671	8704
178	3689	8676
179	3710	8657
180	3730	8636
181	3747	8607
182	3768	8588
183	3789	8568
184	3811	8549
185	3832	8530
186	3850	8504
187	3869	8480
188	3888	8455
189	3910	8438
190	3931	8419
191	3950	8395
192	3968	8368
193	3984	8339
194	4001	8311
195	4019	8285
196	4036	8257
197	4060	8243
198	4080	8221
199	4099	8198
200	4116	8172
201	4134	8146
202	4151	8119
203	4169	8093
204	4186	8065
205	4204	8041
206	4219	8011
207	4236	7984
208	4252	7955
209	4268	7926
210	4285	7900
211	4305	7879
212	4322	7853
213	4342	7832
214	4366	7818
215	4386	7798
216	4406	7777
217	4426	7755
218	4443	7730
219	4464	7712
220	4482	7687
221	4503	7668
222	4522	7645
223	4541	7623
224	4561	7602
225	4580	7580
226	4599	7557
227	4617	7533
228	4636	7511
229	4656	7490
230	4674	7467
231	4692	7443
232	4713	7423
233	4732	7401
234	4749	7377
235	4768	7354
236	4787	7333
237	4805	7308
238	4826	7290
239	4848	7272
240	4866	7249
241	4884	7225
242	4901	7200
243	4919	7177
244	4937	7154
245	4957	7134
246	4976	7111
247	4995	7090
248	5013	7066
249	5029	7041
250	5045	7015
251	5062	6991
252	5080	6968
253	5100	6948
254	5121	6929
255	5138	6904
256	5154	6879
257	5171	6854
258	5189	6832
259	5209	6812
260	5228	6791
261	5247	6769
262	5268	6750
263	5285	6727
264	5304	6705
265	5322	6682
266	5339	6658
267	5357	6636
268	5374	6612
269	5390	6588
270	5407	6564
271	5424	6541
272	5442	6519
273	5462	6499
274	5484	6481
275	5503	6460
276	5523	6440
277	5541	6418
278	5557	6394
279	5574	6370
280	5591	6347
281	5608	6324
282	5625	6301
283	5643	6278
284	5661	6257
285	5679	6236
286	5696	6212
287	5714	6190
288	5731	6167
289	5748	6144
290	5767	6124
291	5785	6102
292	5803	6081
293	5821	6059
294	5844	6042
295	5866	6025
296	5886	6005
297	5907	5986
298	5925	5964
299	5944	5944
300	5987	5947
301	6008	5929
302	6027	5908
303	6044	5885
304	6075	5876
305	6097	5858
306	6119	5840
307	6139	5820
308	6160	5801
309	6181	5782
310	6202	5764
311	6226	5747
312	6249	5729
313	6266	5707
314	6282	5684
315	6299	5661
316	6316	5639
317	6333	5616
318	6352	5595
319	6373	5576
320	6395	5558
321	6415	5538
322	6436	5520
323	6459	5502
324	6482	5484
325	6504	5466
326	6527	5449
327	6575	5452
328	6600	5437
329	6622	5418
330	6641	5397
331	6658	5375
332	6677	5353
333	6698	5335
334	6722	5318
335	6743	5298
336	6760	5276
337	6780	5256
338	6799	5235
339	6819	5215
340	6836	5192
341	6853	5170
342	6871	5148
343	6889	5126
344	6908	5106
345	6926	5084
346	6943	5062
347	6961	5041
348	6982	5021
349	6999	4999
350	7016	4977
351	7035	4956
352	7053	4935
353	7072	4914
354	7093	4895
